epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18700.3,0.58874,0.42781,1.08601,0.99278,0.99449,0.99291,0.92549,0.44297,0.24161,0.94199,0.005842,0.005842,0.005842
44,19133,0.58716,0.43108,1.08662,0.9927,0.99459,0.99294,0.92596,0.44234,0.24001,0.94153,0.005743,0.005743,0.005743
45,19568.7,0.58319,0.42178,1.08531,0.99275,0.99461,0.993,0.92653,0.44186,0.23898,0.94133,0.005644,0.005644,0.005644
46,20002.7,0.57911,0.41526,1.0773,0.99318,0.99454,0.99304,0.92699,0.44103,0.23774,0.94077,0.005545,0.005545,0.005545
47,20434.7,0.57939,0.41314,1.08008,0.99314,0.99454,0.99312,0.92708,0.44012,0.23643,0.94035,0.005446,0.005446,0.005446
48,20869.1,0.57768,0.40794,1.07849,0.9933,0.9946,0.99321,0.92731,0.43946,0.23506,0.94006,0.005347,0.005347,0.005347
49,21301.2,0.57123,0.40709,1.0743,0.9934,0.99459,0.99338,0.92796,0.43887,0.23417,0.93984,0.005248,0.005248,0.005248
50,21735.8,0.57523,0.40559,1.07298,0.99348,0.99459,0.99339,0.92796,0.43822,0.23327,0.93939,0.005149,0.005149,0.005149
51,22170.5,0.56638,0.40193,1.06793,0.99337,0.99456,0.9934,0.92818,0.4376,0.2321,0.93906,0.00505,0.00505,0.00505
52,22602.4,0.56481,0.39864,1.07006,0.99332,0.99458,0.99342,0.92838,0.437,0.23124,0.93857,0.004951,0.004951,0.004951
53,23036.7,0.56422,0.39778,1.06646,0.99333,0.99462,0.99333,0.92842,0.43639,0.2306,0.93813,0.004852,0.004852,0.004852
54,23468.6,0.55754,0.39015,1.06103,0.99336,0.99458,0.99334,0.92874,0.4356,0.22991,0.93759,0.004753,0.004753,0.004753
55,23903.5,0.55706,0.38767,1.05769,0.99355,0.99453,0.99335,0.92889,0.43504,0.22869,0.93704,0.004654,0.004654,0.004654
56,24337.5,0.55232,0.38314,1.05655,0.99359,0.99452,0.99336,0.92919,0.43436,0.22768,0.93659,0.004555,0.004555,0.004555
57,24770.5,0.5511,0.37725,1.05494,0.99367,0.99452,0.99337,0.92959,0.43378,0.22686,0.9361,0.004456,0.004456,0.004456
58,25204.2,0.54493,0.3727,1.04908,0.99366,0.9945,0.99338,0.92975,0.43321,0.22584,0.93563,0.004357,0.004357,0.004357
59,25635.4,0.54832,0.37204,1.05028,0.99365,0.99454,0.9934,0.93016,0.43252,0.22475,0.93516,0.004258,0.004258,0.004258
60,26070.3,0.54167,0.36934,1.049,0.994,0.99468,0.9934,0.93028,0.43184,0.22359,0.93466,0.004159,0.004159,0.004159
61,26505.7,0.54024,0.36547,1.04557,0.99392,0.99467,0.99342,0.9305,0.43111,0.2229,0.93403,0.00406,0.00406,0.00406
62,26937.9,0.53719,0.36392,1.04459,0.99404,0.99465,0.99343,0.93079,0.43044,0.22203,0.93353,0.003961,0.003961,0.003961
63,27371.3,0.53594,0.3598,1.04061,0.99405,0.99461,0.99344,0.93064,0.42981,0.22128,0.93304,0.003862,0.003862,0.003862
64,27804.1,0.53324,0.35668,1.03619,0.99417,0.99451,0.99345,0.93086,0.42924,0.22035,0.93247,0.003763,0.003763,0.003763
65,28236,0.52924,0.35208,1.03813,0.9944,0.9948,0.99346,0.93128,0.42874,0.2195,0.93208,0.003664,0.003664,0.003664
66,28671.4,0.52673,0.35205,1.03815,0.99428,0.99477,0.99346,0.93129,0.42828,0.21872,0.93177,0.003565,0.003565,0.003565
67,29104,0.52484,0.34897,1.03444,0.99437,0.99472,0.99348,0.93135,0.42776,0.21791,0.93131,0.003466,0.003466,0.003466
68,29537.2,0.52321,0.34707,1.03464,0.99475,0.99493,0.99349,0.93184,0.42713,0.217,0.93091,0.003367,0.003367,0.003367
69,29970.3,0.52274,0.33957,1.03084,0.99478,0.99504,0.9935,0.93227,0.42652,0.2161,0.93043,0.003268,0.003268,0.003268
70,30405.7,0.51437,0.3362,1.02543,0.99487,0.99502,0.99342,0.93186,0.4261,0.2152,0.93,0.003169,0.003169,0.003169
71,30840.2,0.51362,0.33924,1.02431,0.99497,0.99504,0.99344,0.93248,0.42546,0.21452,0.92945,0.00307,0.00307,0.00307
72,31272,0.51181,0.33197,1.02379,0.99507,0.99509,0.99347,0.93292,0.42491,0.21363,0.92901,0.002971,0.002971,0.002971
73,31705.2,0.50711,0.32926,1.02194,0.99509,0.99515,0.99347,0.93322,0.4245,0.21269,0.92855,0.002872,0.002872,0.002872
74,32139.2,0.5065,0.32575,1.02037,0.99519,0.99519,0.99351,0.93346,0.42386,0.21164,0.92802,0.002773,0.002773,0.002773
75,32574.6,0.49995,0.32277,1.0181,0.99531,0.99512,0.99351,0.93381,0.42328,0.21089,0.92749,0.002674,0.002674,0.002674
76,33004.8,0.50316,0.32115,1.01653,0.99528,0.99531,0.99352,0.93403,0.42287,0.21,0.92704,0.002575,0.002575,0.002575
77,33434.1,0.49677,0.31384,1.01209,0.99539,0.99523,0.99356,0.93427,0.42235,0.20933,0.92651,0.002476,0.002476,0.002476
78,33866.7,0.49517,0.31594,1.00968,0.99545,0.99513,0.99356,0.93431,0.42185,0.20844,0.92588,0.002377,0.002377,0.002377
79,34300.8,0.48992,0.30969,1.00686,0.99551,0.99511,0.99361,0.93465,0.4213,0.20789,0.92538,0.002278,0.002278,0.002278
80,34735.9,0.4855,0.30422,1.00497,0.99553,0.99535,0.99365,0.9348,0.42062,0.20688,0.92467,0.002179,0.002179,0.002179
81,35169.9,0.48498,0.30496,1.00411,0.99559,0.99535,0.99369,0.93532,0.41993,0.20606,0.92405,0.00208,0.00208,0.00208
