epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67592.3,0.69234,0.62807,1.17345,0.98403,0.9931,0.99185,0.89522,0.52858,0.38619,1.04139,0.000639856,0.000639856,0.000639856
43,69201.8,0.68857,0.62429,1.16891,0.9843,0.9931,0.99191,0.89523,0.52769,0.38318,1.04014,0.000624721,0.000624721,0.000624721
44,70812.4,0.68256,0.61074,1.1665,0.9841,0.99315,0.99195,0.89582,0.52671,0.3806,1.03851,0.000609463,0.000609463,0.000609463
45,72423.1,0.67663,0.59946,1.15944,0.98422,0.99315,0.99197,0.89625,0.52558,0.37831,1.03701,0.000594097,0.000594097,0.000594097
46,74034.4,0.66819,0.5945,1.15685,0.9841,0.99311,0.99199,0.89603,0.52486,0.37646,1.03589,0.000578639,0.000578639,0.000578639
47,75643.9,0.66716,0.58698,1.15071,0.98415,0.99304,0.99199,0.89616,0.52412,0.37542,1.03473,0.000563104,0.000563104,0.000563104
48,77253.9,0.66699,0.58677,1.15057,0.98392,0.99313,0.99199,0.8971,0.52315,0.37334,1.03335,0.000547507,0.000547507,0.000547507
49,78864.7,0.66171,0.57493,1.14711,0.98415,0.99308,0.99199,0.897,0.52238,0.37117,1.03242,0.000531864,0.000531864,0.000531864
50,80474.5,0.66033,0.57371,1.15127,0.9842,0.99306,0.99199,0.89774,0.52145,0.369,1.03136,0.00051619,0.00051619,0.00051619
51,82084.5,0.65391,0.56682,1.14226,0.9842,0.99308,0.99202,0.89808,0.52067,0.36688,1.03042,0.0005005,0.0005005,0.0005005
52,83695.3,0.65382,0.56216,1.14193,0.98424,0.99305,0.99203,0.89859,0.51988,0.36504,1.02949,0.00048481,0.00048481,0.00048481
53,85305.5,0.64862,0.55986,1.14259,0.98401,0.99319,0.99202,0.89896,0.51891,0.36302,1.02846,0.000469136,0.000469136,0.000469136
54,86915.2,0.64485,0.54746,1.13517,0.98408,0.99315,0.99205,0.89911,0.51818,0.36134,1.02752,0.000453493,0.000453493,0.000453493
55,88523.3,0.64475,0.5464,1.13762,0.98417,0.99321,0.99206,0.89942,0.51744,0.35914,1.02656,0.000437896,0.000437896,0.000437896
56,90130.7,0.63866,0.54068,1.12969,0.98397,0.99354,0.99209,0.89946,0.5168,0.3574,1.02577,0.000422361,0.000422361,0.000422361
57,91738.5,0.63882,0.53639,1.1287,0.98407,0.99364,0.99213,0.89977,0.51608,0.35516,1.02484,0.000406903,0.000406903,0.000406903
58,93346,0.6302,0.52879,1.12731,0.98448,0.99348,0.99217,0.90011,0.51528,0.35366,1.02399,0.000391537,0.000391537,0.000391537
59,94953.7,0.62847,0.5206,1.12425,0.98464,0.99348,0.99219,0.90066,0.5144,0.35201,1.02301,0.000376279,0.000376279,0.000376279
60,96561.7,0.62642,0.52089,1.12387,0.98444,0.99348,0.99221,0.90128,0.5136,0.35088,1.02212,0.000361144,0.000361144,0.000361144
61,98169.6,0.62708,0.52183,1.12087,0.98459,0.99335,0.99222,0.90156,0.51293,0.34925,1.02119,0.000346146,0.000346146,0.000346146
62,99777.7,0.6256,0.51668,1.12263,0.98458,0.99344,0.99225,0.90179,0.51208,0.34751,1.02015,0.0003313,0.0003313,0.0003313
63,101387,0.62306,0.51658,1.11758,0.98467,0.99349,0.99226,0.90219,0.51139,0.34582,1.01931,0.000316622,0.000316622,0.000316622
64,102995,0.61768,0.51022,1.11556,0.98469,0.99352,0.99228,0.90259,0.51065,0.34444,1.01844,0.000302125,0.000302125,0.000302125
65,104604,0.6163,0.50503,1.11215,0.98483,0.99361,0.99232,0.9029,0.50988,0.34298,1.01754,0.000287823,0.000287823,0.000287823
66,106212,0.60699,0.49045,1.10746,0.9848,0.99375,0.99235,0.90307,0.50922,0.34123,1.01666,0.000273732,0.000273732,0.000273732
67,107821,0.60894,0.49674,1.10872,0.98478,0.99383,0.99236,0.90332,0.5084,0.33967,1.01578,0.000259864,0.000259864,0.000259864
68,109429,0.60338,0.48882,1.10136,0.98524,0.99385,0.9924,0.90357,0.50768,0.33801,1.01499,0.000246234,0.000246234,0.000246234
69,111038,0.60394,0.49001,1.10541,0.98512,0.9938,0.9924,0.90391,0.50687,0.33644,1.01401,0.000232855,0.000232855,0.000232855
70,112647,0.59777,0.47876,1.09794,0.9851,0.99366,0.99242,0.90407,0.50613,0.33535,1.01321,0.000219739,0.000219739,0.000219739
71,114256,0.59561,0.47868,1.09898,0.98537,0.99375,0.99245,0.90464,0.50543,0.33376,1.01238,0.000206901,0.000206901,0.000206901
72,115865,0.60029,0.4845,1.10256,0.98569,0.99362,0.99246,0.90484,0.50469,0.33238,1.0115,0.000194353,0.000194353,0.000194353
73,117474,0.5948,0.47915,1.09813,0.98567,0.99366,0.9925,0.90476,0.50395,0.33094,1.01069,0.000182107,0.000182107,0.000182107
74,119083,0.59073,0.47289,1.0983,0.98601,0.99376,0.99251,0.90457,0.50326,0.32963,1.0099,0.000170175,0.000170175,0.000170175
75,120693,0.58929,0.47229,1.093,0.98553,0.99407,0.99254,0.90495,0.50275,0.32811,1.0092,0.000158569,0.000158569,0.000158569
76,122303,0.58751,0.46791,1.09141,0.9857,0.99428,0.99255,0.90525,0.50211,0.32692,1.00841,0.0001473,0.0001473,0.0001473
77,123912,0.58833,0.46742,1.09563,0.98568,0.99428,0.99258,0.90547,0.50142,0.32552,1.00756,0.00013638,0.00013638,0.00013638
78,125523,0.58663,0.46297,1.09102,0.98587,0.99428,0.9926,0.90579,0.50066,0.32403,1.00678,0.00012582,0.00012582,0.00012582
79,127133,0.58596,0.46064,1.08983,0.98615,0.99436,0.99261,0.90597,0.50015,0.32257,1.00598,0.000115629,0.000115629,0.000115629
80,128743,0.57929,0.45987,1.08817,0.98644,0.99441,0.99262,0.90654,0.49946,0.32118,1.00528,0.000105818,0.000105818,0.000105818
81,130353,0.57704,0.45728,1.08647,0.98676,0.99437,0.99263,0.90705,0.49893,0.32003,1.00469,9.6396e-05,9.6396e-05,9.6396e-05
82,131964,0.57934,0.45317,1.08548,0.98654,0.99438,0.99265,0.90708,0.49835,0.31862,1.004,8.73733e-05,8.73733e-05,8.73733e-05
83,133574,0.57548,0.45259,1.0844,0.98674,0.99435,0.99266,0.90704,0.49772,0.31722,1.0034,7.87582e-05,7.87582e-05,7.87582e-05
84,135185,0.57384,0.45236,1.08456,0.98715,0.99429,0.99268,0.90759,0.49715,0.31602,1.00268,7.05594e-05,7.05594e-05,7.05594e-05
85,136795,0.57211,0.45111,1.07987,0.9871,0.99442,0.9927,0.9074,0.49664,0.3148,1.00212,6.27848e-05,6.27848e-05,6.27848e-05
86,138405,0.57237,0.4529,1.08199,0.98733,0.99439,0.99271,0.9077,0.49616,0.31381,1.00157,5.54422e-05,5.54422e-05,5.54422e-05
87,140016,0.57116,0.44907,1.08179,0.98732,0.99441,0.99271,0.90779,0.49567,0.31251,1.00103,4.85389e-05,4.85389e-05,4.85389e-05
88,141627,0.57371,0.44682,1.0798,0.98776,0.99409,0.99273,0.90788,0.49518,0.31154,1.00051,4.20816e-05,4.20816e-05,4.20816e-05
89,143237,0.56878,0.44637,1.08095,0.98765,0.99395,0.99273,0.90786,0.49469,0.31061,0.99996,3.60766e-05,3.60766e-05,3.60766e-05
90,144847,0.56677,0.44295,1.07665,0.98761,0.9939,0.99274,0.90812,0.49431,0.30958,0.99951,3.05301e-05,3.05301e-05,3.05301e-05
91,146495,0.52922,0.35144,1.00619,0.98814,0.9939,0.99276,0.90843,0.49366,0.30816,0.99892,2.54473e-05,2.54473e-05,2.54473e-05
92,148102,0.52229,0.34586,1.00579,0.98867,0.99426,0.99279,0.90894,0.49305,0.30679,0.99828,2.08333e-05,2.08333e-05,2.08333e-05
93,149711,0.51928,0.34591,1.00389,0.98857,0.99438,0.99281,0.90909,0.49245,0.3053,0.99767,1.66927e-05,1.66927e-05,1.66927e-05
94,151319,0.51596,0.34179,1.00245,0.98869,0.99458,0.99284,0.90939,0.49188,0.30395,0.99711,1.30296e-05,1.30296e-05,1.30296e-05
95,152927,0.51542,0.33954,1.00047,0.9882,0.99456,0.99284,0.90992,0.49134,0.30266,0.99661,9.84752e-06,9.84752e-06,9.84752e-06
96,154535,0.51448,0.33812,1.00101,0.98861,0.99466,0.99286,0.90992,0.49081,0.30156,0.99611,7.14967e-06,7.14967e-06,7.14967e-06
97,156144,0.51481,0.33762,0.99882,0.98906,0.99461,0.99291,0.91031,0.49022,0.30025,0.99559,4.93871e-06,4.93871e-06,4.93871e-06
98,157752,0.51578,0.33894,0.9982,0.98943,0.99452,0.99293,0.91052,0.4897,0.29914,0.99505,3.2168e-06,3.2168e-06,3.2168e-06
99,159362,0.51182,0.33724,0.99712,0.98975,0.99468,0.99295,0.91091,0.48931,0.29799,0.99463,1.98565e-06,1.98565e-06,1.98565e-06
100,160970,0.51025,0.33962,0.99797,0.9902,0.99477,0.99299,0.91097,0.48889,0.29707,0.99419,1.24647e-06,1.24647e-06,1.24647e-06
