epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14960.9,0.62774,0.44143,1.12729,0.99321,0.99414,0.99387,0.91988,0.48563,0.23035,0.9632,0.005842,0.005842,0.005842
44,15307.8,0.62186,0.43954,1.12202,0.99331,0.99409,0.99387,0.92007,0.48485,0.22962,0.96238,0.005743,0.005743,0.005743
45,15653,0.61905,0.43101,1.11973,0.99312,0.99404,0.99388,0.9206,0.48444,0.22903,0.96156,0.005644,0.005644,0.005644
46,16000.2,0.61504,0.4307,1.11433,0.99348,0.99406,0.99391,0.92059,0.48418,0.22841,0.96098,0.005545,0.005545,0.005545
47,16346.2,0.61461,0.42939,1.11093,0.99291,0.99415,0.99392,0.92032,0.48354,0.22788,0.96009,0.005446,0.005446,0.005446
48,16692.7,0.60914,0.41656,1.11191,0.99303,0.99423,0.99393,0.92089,0.48291,0.22717,0.95942,0.005347,0.005347,0.005347
49,17039.7,0.6078,0.41756,1.10965,0.99311,0.99433,0.99394,0.92146,0.48242,0.22653,0.95878,0.005248,0.005248,0.005248
50,17386.3,0.6078,0.41745,1.10626,0.9929,0.99416,0.99394,0.92175,0.48176,0.22613,0.95809,0.005149,0.005149,0.005149
51,17731.8,0.60715,0.41849,1.10494,0.99303,0.99416,0.99394,0.92194,0.48143,0.2259,0.95749,0.00505,0.00505,0.00505
52,18077.4,0.60371,0.40637,1.10466,0.99288,0.99425,0.99395,0.92233,0.48099,0.22544,0.95699,0.004951,0.004951,0.004951
53,18423.7,0.59855,0.40648,1.09999,0.99276,0.99427,0.99395,0.92249,0.48051,0.22524,0.95652,0.004852,0.004852,0.004852
54,18769.8,0.59741,0.40004,1.09822,0.99302,0.99432,0.99398,0.92273,0.4802,0.22477,0.95611,0.004753,0.004753,0.004753
55,19115.9,0.59403,0.40329,1.09409,0.99306,0.99436,0.99398,0.92271,0.47975,0.22402,0.95564,0.004654,0.004654,0.004654
56,19462.8,0.58991,0.39518,1.09237,0.99293,0.99429,0.99399,0.92287,0.4792,0.22373,0.95483,0.004555,0.004555,0.004555
57,19809.2,0.59013,0.39368,1.09025,0.99296,0.9944,0.99399,0.92336,0.47873,0.22322,0.95433,0.004456,0.004456,0.004456
58,20155.9,0.58858,0.39192,1.09404,0.99297,0.99456,0.99399,0.92368,0.47833,0.22267,0.95382,0.004357,0.004357,0.004357
59,20502.2,0.58354,0.39042,1.08247,0.99294,0.99457,0.994,0.92384,0.4779,0.22221,0.95333,0.004258,0.004258,0.004258
60,20847.7,0.58064,0.38502,1.08495,0.99295,0.99462,0.994,0.92393,0.47726,0.22183,0.95285,0.004159,0.004159,0.004159
61,21193,0.57625,0.37604,1.08184,0.99316,0.99466,0.99401,0.92411,0.47666,0.22139,0.95235,0.00406,0.00406,0.00406
62,21538.6,0.57932,0.3811,1.08388,0.99311,0.99466,0.99404,0.92415,0.47611,0.22098,0.95197,0.003961,0.003961,0.003961
63,21885.6,0.57519,0.37789,1.08296,0.99317,0.99466,0.99404,0.92448,0.47554,0.22076,0.95146,0.003862,0.003862,0.003862
64,22233.3,0.57196,0.37469,1.08389,0.99309,0.99465,0.99404,0.92495,0.47498,0.22053,0.951,0.003763,0.003763,0.003763
65,22580.8,0.57069,0.374,1.07418,0.99279,0.99464,0.99405,0.92562,0.47439,0.22013,0.95043,0.003664,0.003664,0.003664
66,22928.9,0.56455,0.36713,1.07229,0.99265,0.99464,0.99406,0.92583,0.47369,0.21984,0.94986,0.003565,0.003565,0.003565
67,23277,0.56546,0.36559,1.07315,0.99266,0.99463,0.99406,0.92607,0.47311,0.21963,0.94943,0.003466,0.003466,0.003466
68,23625.4,0.55967,0.3627,1.06861,0.99264,0.99457,0.99406,0.92604,0.47266,0.21927,0.94897,0.003367,0.003367,0.003367
69,23974,0.55694,0.35828,1.06653,0.99279,0.99456,0.99408,0.92646,0.47209,0.21907,0.94841,0.003268,0.003268,0.003268
70,24321.5,0.55876,0.36075,1.06833,0.99329,0.99457,0.9941,0.92663,0.47147,0.21871,0.94798,0.003169,0.003169,0.003169
71,24668.9,0.54883,0.35136,1.0594,0.99355,0.99457,0.99411,0.92681,0.47089,0.21848,0.94748,0.00307,0.00307,0.00307
72,25014.4,0.5523,0.35182,1.06054,0.99365,0.99457,0.99411,0.92733,0.47028,0.21836,0.9469,0.002971,0.002971,0.002971
73,25360,0.54633,0.34939,1.05795,0.9935,0.99458,0.99412,0.9274,0.46986,0.21808,0.9465,0.002872,0.002872,0.002872
74,25705.8,0.54594,0.34636,1.05718,0.99347,0.99458,0.99413,0.92757,0.4694,0.21822,0.94605,0.002773,0.002773,0.002773
75,26051.4,0.54304,0.34349,1.06048,0.99364,0.99459,0.99413,0.92791,0.46881,0.21798,0.94568,0.002674,0.002674,0.002674
76,26397.7,0.53597,0.33712,1.05041,0.9937,0.99459,0.99413,0.92813,0.46827,0.21781,0.94515,0.002575,0.002575,0.002575
77,26743.3,0.53654,0.33671,1.05288,0.99381,0.99463,0.99413,0.92816,0.46771,0.21748,0.94464,0.002476,0.002476,0.002476
78,27089,0.53038,0.33377,1.04856,0.99404,0.99463,0.99414,0.92838,0.46708,0.21714,0.94422,0.002377,0.002377,0.002377
79,27435,0.5286,0.3275,1.04251,0.99435,0.99462,0.99415,0.92845,0.4664,0.21705,0.94376,0.002278,0.002278,0.002278
80,27780.5,0.52355,0.32622,1.03982,0.99468,0.99469,0.99416,0.92912,0.46585,0.21705,0.94326,0.002179,0.002179,0.002179
81,28125.7,0.5241,0.31957,1.03938,0.99536,0.99469,0.99416,0.92965,0.46523,0.21683,0.94284,0.00208,0.00208,0.00208
82,28471.5,0.51607,0.31625,1.03676,0.99548,0.99468,0.99416,0.93001,0.46468,0.21632,0.94245,0.001981,0.001981,0.001981
83,28817.2,0.51921,0.31717,1.03857,0.99563,0.99466,0.99417,0.93001,0.46412,0.21604,0.94199,0.001882,0.001882,0.001882
84,29163,0.51237,0.31222,1.03602,0.99589,0.99465,0.99417,0.93023,0.46351,0.21611,0.9415,0.001783,0.001783,0.001783
85,29508.6,0.51183,0.31218,1.03492,0.99602,0.99463,0.99417,0.93057,0.463,0.21592,0.94104,0.001684,0.001684,0.001684
86,29854.2,0.50607,0.30521,1.0315,0.99605,0.99462,0.99419,0.93091,0.46241,0.21588,0.94048,0.001585,0.001585,0.001585
87,30199.6,0.50417,0.30553,1.02318,0.99611,0.99462,0.99419,0.93143,0.46179,0.21546,0.93985,0.001486,0.001486,0.001486
88,30545.3,0.49984,0.30131,1.02545,0.99616,0.99462,0.9942,0.93182,0.46107,0.21546,0.93925,0.001387,0.001387,0.001387
89,30891.6,0.49859,0.29766,1.02515,0.99646,0.99489,0.99422,0.93199,0.46043,0.21508,0.93869,0.001288,0.001288,0.001288
90,31238.6,0.49093,0.29336,1.01994,0.99668,0.99488,0.99421,0.93234,0.45989,0.21472,0.93809,0.001189,0.001189,0.001189
91,31618.5,0.46152,0.2244,0.9372,0.99671,0.99493,0.99422,0.93256,0.45915,0.2142,0.93758,0.00109,0.00109,0.00109
92,31965.8,0.45614,0.21777,0.9292,0.99641,0.99499,0.99422,0.93302,0.45829,0.2137,0.93694,0.000991,0.000991,0.000991
93,32313.4,0.45036,0.21518,0.9283,0.99668,0.99498,0.99421,0.93313,0.45744,0.21325,0.93621,0.000892,0.000892,0.000892
94,32661.8,0.44297,0.21035,0.9247,0.99699,0.99504,0.99421,0.93364,0.45664,0.21265,0.93564,0.000793,0.000793,0.000793
95,33010.6,0.43939,0.20827,0.92281,0.99692,0.99514,0.99421,0.93374,0.4559,0.21224,0.93504,0.000694,0.000694,0.000694
96,33360.1,0.4366,0.2049,0.91695,0.99691,0.9956,0.99421,0.93411,0.45507,0.21152,0.9344,0.000595,0.000595,0.000595
97,33708.8,0.43041,0.2028,0.91491,0.99725,0.99566,0.9942,0.93443,0.45428,0.21067,0.93376,0.000496,0.000496,0.000496
98,34057.6,0.42683,0.20018,0.91228,0.99724,0.9958,0.99421,0.93493,0.45361,0.21007,0.93295,0.000397,0.000397,0.000397
99,34405.4,0.42396,0.19733,0.90944,0.99723,0.99585,0.9942,0.9351,0.45298,0.20952,0.93214,0.000298,0.000298,0.000298
100,34752.1,0.41829,0.1937,0.90625,0.9973,0.99584,0.9942,0.93564,0.45225,0.20873,0.9314,0.000199,0.000199,0.000199
