epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68374.5,0.6486,0.4895,1.09806,0.98797,0.99334,0.99237,0.90754,0.49611,0.25421,0.97677,0.00643101,0.00643101,0.00643101
43,69999.4,0.64044,0.48671,1.09451,0.98805,0.99343,0.99239,0.9079,0.4953,0.25325,0.97586,0.00628101,0.00628101,0.00628101
44,71625.5,0.639,0.48109,1.09076,0.98817,0.99323,0.99242,0.90834,0.4946,0.25223,0.97524,0.00612981,0.00612981,0.00612981
45,73250.1,0.63623,0.47457,1.09062,0.98786,0.99303,0.99242,0.90861,0.49384,0.25134,0.97433,0.00597754,0.00597754,0.00597754
46,74876.2,0.63456,0.47211,1.0884,0.98795,0.993,0.99245,0.90885,0.49317,0.25048,0.97361,0.00582435,0.00582435,0.00582435
47,76504,0.62695,0.46486,1.08177,0.98787,0.99324,0.99245,0.90923,0.49249,0.24988,0.97282,0.0056704,0.0056704,0.0056704
48,78133.6,0.62684,0.46202,1.08418,0.98758,0.99313,0.99193,0.90946,0.4918,0.24895,0.97216,0.00551584,0.00551584,0.00551584
49,79761.1,0.6246,0.45845,1.08227,0.98772,0.99303,0.99196,0.90966,0.49108,0.2482,0.97139,0.00536081,0.00536081,0.00536081
50,81391.3,0.62091,0.44844,1.0783,0.98784,0.99299,0.99196,0.9102,0.49046,0.24751,0.97066,0.00520548,0.00520548,0.00520548
51,83017.4,0.6224,0.4486,1.07961,0.9877,0.993,0.99201,0.91035,0.48995,0.24651,0.97009,0.00505,0.00505,0.00505
52,84646.3,0.6125,0.44404,1.07247,0.98761,0.99289,0.99205,0.91083,0.48954,0.24566,0.9695,0.00489452,0.00489452,0.00489452
53,86272,0.61042,0.43195,1.07224,0.9877,0.99296,0.99208,0.91105,0.489,0.24513,0.96892,0.00473919,0.00473919,0.00473919
54,87900.6,0.61166,0.44115,1.07072,0.98753,0.99303,0.99212,0.91169,0.48847,0.24435,0.96829,0.00458416,0.00458416,0.00458416
55,89529.1,0.60641,0.42911,1.06537,0.98736,0.9934,0.99213,0.9123,0.48794,0.24393,0.96754,0.0044296,0.0044296,0.0044296
56,91157.6,0.60075,0.42405,1.06086,0.98799,0.99336,0.9922,0.91259,0.48738,0.24333,0.96684,0.00427565,0.00427565,0.00427565
57,92786.1,0.59532,0.41963,1.05812,0.98748,0.9935,0.99225,0.91313,0.48672,0.24258,0.96604,0.00412246,0.00412246,0.00412246
58,94413.7,0.58949,0.41305,1.05691,0.98739,0.9935,0.99227,0.91331,0.48598,0.24189,0.96532,0.00397019,0.00397019,0.00397019
59,96041.7,0.58758,0.40679,1.05279,0.9876,0.9935,0.99226,0.91358,0.4854,0.24133,0.96455,0.00381899,0.00381899,0.00381899
60,97670,0.58541,0.40844,1.05554,0.98821,0.99346,0.99227,0.91352,0.48474,0.24077,0.96377,0.00366899,0.00366899,0.00366899
61,99300.1,0.5829,0.40193,1.05193,0.98821,0.9937,0.99282,0.91394,0.48417,0.23997,0.96314,0.00352037,0.00352037,0.00352037
62,100939,0.57939,0.40131,1.04761,0.98855,0.99365,0.99286,0.91435,0.48353,0.23943,0.96256,0.00337325,0.00337325,0.00337325
63,102589,0.57281,0.39477,1.04343,0.98854,0.9938,0.99289,0.91462,0.48283,0.23883,0.96175,0.00322778,0.00322778,0.00322778
64,104228,0.57079,0.39185,1.0441,0.98853,0.9938,0.99291,0.91485,0.48217,0.23785,0.96107,0.00308412,0.00308412,0.00308412
65,105921,0.56536,0.38372,1.04129,0.98826,0.99386,0.99292,0.91548,0.48169,0.23713,0.96055,0.00294239,0.00294239,0.00294239
